Date,AXP,BAC,JPM,CSCO,HPQ,IBM,INTC,MSFT
10/10/11,45.03,6.14,30.34,16.84,24.97,184.06,21.85,25.74
10/3/11,42.42,5.85,29.21,15.98,23.8,176.19,20.72,24.78
9/26/11,43.67,6.07,28.41,14.81,21.47,168.93,19.84,23.5
9/19/11,45.18,6.26,27.91,14.91,21.35,163.59,20.6,23.66
9/12/11,48.75,7.17,31.53,15.88,22.51,167.11,20.43,25.6
9/6/11,45.99,6.92,30.26,15.12,21.55,155.89,18.32,24.3
8/29/11,47.18,7.19,32.66,14.72,23.16,161.31,18.26,24.35
8/22/11,47.15,7.69,34.15,14.64,23.61,163.39,18.38,23.84
8/15/11,43.25,6.9,32.4,14.41,22.45,152.19,17.84,22.7
8/8/11,43.66,7.12,33.87,15.28,30.75,162.48,19.2,23.55
8/1/11,45.92,8.09,35.46,14.27,31.04,166.38,19.33,24.09
7/25/11,48.67,9.62,38.15,15.26,33.46,174.91,20.56,25.7
7/18/11,50.81,10.03,39.79,15.73,34.92,178.11,21.3,25.82
7/11/11,50.39,9.9,37.71,14.9,33.38,168.84,20.6,25.12
7/5/11,51.62,10.6,38.43,15.04,34.66,169.75,21.26,25.25
7/1/11,50.91,10.98,39.22,15.1,35.25,167.88,20.75,24.41
